customer_id,customer_name,email,region,product_category,purchase_amount,purchase_date,loyalty_score,zip_code
1,Customer 1,customer1@example.com,North,Home,423.39,2023-01-01,28.0,73102
2,Customer 2,customer2@example.com,East,Apparel,261.86,2023-01-04,31.0,73101
3,Customer 3,customer3@example.com,West,Food,458.3,2023-01-07,84.0,74101
4,Customer 4,customer4@example.com,South,Electronics,483.68,2023-01-10,97.0,73103
5,Customer 5,customer5@example.com,East,Food,493.53,2023-01-13,5.0,74101
6,Customer 6,,East,Home,302.95,2023-01-16,90.0,73103
7,Customer 7,,North,Apparel,84.56,2023-01-19,98.0,73102
8,Customer 8,,West,Food,197.16,2023-01-22,30.0,73101
9,Customer 9,,North,Apparel,119.83,2023-01-25,72.0,73101
10,Customer 10,,South,Electronics,45.45,2023-01-28,34.0,74101
11,Customer 11,,South,Apparel,323.36,2023-01-31,64.0,73102
12,Customer 12,customer12@example.com,South,Food,298.81,2023-02-03,84.0,73102
13,Customer 13,customer13@example.com,South,Apparel,475.9,2023-02-06,69.0,73101
14,Customer 14,customer14@example.com,West,Food,210.58,2023-02-09,95.0,73101
15,Customer 15,customer15@example.com,South,Food,131.01,2023-02-12,37.0,73103
16,Customer 16,customer16@example.com,East,Home,171.29,2023-02-15,66.0,74101
17,Customer 17,customer17@example.com,North,Food,231.87,2023-02-18,48.0,73103
18,Customer 18,customer18@example.com,East,Electronics,84.63,2023-02-21,85.0,74101
19,Customer 19,customer19@example.com,East,Food,495.55,2023-02-24,88.0,73103
20,Customer 20,customer20@example.com,North,Food,409.15,2023-02-27,29.0,73102
21,Customer 21,customer21@example.com,West,Apparel,373.88,2023-03-02,,73102
22,Customer 22,customer22@example.com,East,Food,56.88,2023-03-05,,73102
23,Customer 23,customer23@example.com,East,Apparel,289.18,2023-03-08,,73102
24,Customer 24,customer24@example.com,North,Apparel,493.89,2023-03-11,63.0,73103
25,Customer 25,customer25@example.com,West,Apparel,278.52,2023-03-14,52.0,73101
26,Customer 26,customer26@example.com,South,Food,227.94,2023-03-17,5.0,74101
27,Customer 27,customer27@example.com,North,Food,308.65,2023-03-20,86.0,73101
28,Customer 28,customer28@example.com,North,Food,452.76,2023-03-23,60.0,74101
29,Customer 29,customer29@example.com,East,Apparel,385.38,2023-03-26,92.0,73103
30,Customer 30,customer30@example.com,West,Food,91.12,2023-03-29,64.0,73103
31,Customer 31,customer31@example.com,West,Home,453.13,2023-04-01,75.0,74101
32,Customer 32,customer32@example.com,South,Electronics,344.71,2023-04-04,89.0,74101
33,Customer 33,customer33@example.com,North,Food,337.41,2023-04-07,28.0,73102
34,Customer 34,customer34@example.com,South,Food,210.42,2023-04-10,48.0,73103
35,Customer 35,customer35@example.com,North,Home,218.42,2023-04-13,63.0,73103
36,Customer 36,customer36@example.com,North,Home,450.49,2023-04-16,71.0,73102
37,Customer 37,customer37@example.com,East,Food,428.05,2023-04-19,93.0,73102
38,Customer 38,customer38@example.com,North,Apparel,155.62,2023-04-22,76.0,73103
39,Customer 39,customer39@example.com,North,Apparel,493.34,2023-04-25,83.0,74101
40,Customer 40,customer40@example.com,South,Food,449.62,2023-04-28,7.0,73102
41,Customer 41,customer41@example.com,North,Home,408.01,2023-05-01,15.0,73102
42,Customer 42,customer42@example.com,North,Home,79.19,2023-05-04,72.0,73101
43,Customer 43,customer43@example.com,South,Home,312.37,2023-05-07,6.0,73102
44,Customer 44,customer44@example.com,East,Electronics,288.99,2023-05-10,84.0,73103
45,Customer 45,customer45@example.com,South,Apparel,262.42,2023-05-13,20.0,73102
46,Customer 46,customer46@example.com,East,Food,232.69,2023-05-16,91.0,74101
